"marginalBANK","n","landing","coverage"
"BDG",9,0,1
"BRG",326,610204,0.957055214723926
"CRS",50,0,1
"ERK",323,71047,0.996904024767802
"MNT",108,687699,0.888888888888889
"MRO",138,316205,0.971014492753623
"OSF",29,0,1
"HKL",110,87376,0.981818181818182
"NET",6,36046,0.833333333333333
"TWL",867,1561733,0.967704728950404
"1978",124,86843,0.967741935483871
"1979",102,83366,0.990196078431373
"1980",271,107956,0.988929889298893
"1981",237,888719,0.945147679324895
"1982",249,518271,0.959839357429719
"Q1",162,615603,0.932098765432099
"Q2",289,575087,0.955017301038062
"Q3",340,304023,0.988235294117647
"Q4",192,190442,0.984375
