margYTRK,n,landing,coverage
BDG,9,4003,0.888888888888889
BRG,326,492844,0.923312883435583
CRS,50,465516,0.68
ERK,323,885402,0.724458204334365
MNT,108,333889,0.75
MRO,138,199364,0.818840579710145
OSF,29,55138,0.827586206896552
HKL,110,571560,0.745454545454545
NET,6,31893,0.333333333333333
TWL,867,1832703,0.820069204152249
1978,124,618089,0.766129032258065
1979,102,154519,0.813725490196078
1980,271,242145,0.848708487084871
1981,237,767033,0.831223628691983
1982,249,654370,0.763052208835341
Q1,162,493422,0.808641975308642
Q2,289,309370,0.833910034602076
Q3,340,1084024,0.794117647058823
Q4,192,549340,0.796875
