species,year,n,landing,coverage
ARRA,1978,124,5863246,0.991935483870968
ARRA,1979,102,8086821,0.990196078431373
ARRA,1980,271,18891334,0.981549815498155
ARRA,1981,237,16465988,0.983122362869198
ARRA,1982,249,11122887,0.959839357429719
BANK,1978,124,5863246,0.967741935483871
BANK,1979,102,8086821,0.970588235294118
BANK,1980,271,18891334,0.996309963099631
BANK,1981,237,16465988,0.936708860759494
BANK,1982,249,11122887,0.947791164658635
BCAC,1978,124,5863246,0.92741935483871
BCAC,1979,102,8086821,0.941176470588235
BCAC,1980,271,18891334,0.952029520295203
BCAC,1981,237,16465988,0.907172995780591
BCAC,1982,249,11122887,0.927710843373494
BLCK,1978,124,5863246,0.959677419354839
BLCK,1979,102,8086821,0.990196078431373
BLCK,1980,271,18891334,0.966789667896679
BLCK,1981,237,16465988,0.957805907172996
BLCK,1982,249,11122887,0.931726907630522
BLGL,1978,124,5863246,0.983870967741935
BLGL,1979,102,8086821,0.950980392156863
BLGL,1980,271,18891334,0.974169741697417
BLGL,1981,237,16465988,0.978902953586498
BLGL,1982,249,11122887,0.971887550200803
BLUR,1978,124,5863246,1
BLUR,1979,102,8086821,0.970588235294118
BLUR,1980,271,18891334,0.992619926199262
BLUR,1981,237,16465988,0.9957805907173
BLUR,1982,249,11122887,0.991967871485944
BRNZ,1978,124,5863246,0.838709677419355
BRNZ,1979,102,8086821,0.92156862745098
BRNZ,1980,271,18891334,0.874538745387454
BRNZ,1981,237,16465988,0.89873417721519
BRNZ,1982,249,11122887,1
BRWN,1978,124,5863246,0.991935483870968
BRWN,1979,102,8086821,1
BRWN,1980,271,18891334,0.988929889298893
BRWN,1981,237,16465988,0.9957805907173
BRWN,1982,249,11122887,0.995983935742972
CBZN,1978,124,5863246,0.588709677419355
CBZN,1979,102,8086821,0.990196078431373
CBZN,1980,271,18891334,0.92619926199262
CBZN,1981,237,16465988,0.974683544303797
CBZN,1982,249,11122887,0.963855421686747
CLPR,1978,124,5863246,0.967741935483871
CLPR,1979,102,8086821,0.911764705882353
CLPR,1980,271,18891334,0.948339483394834
CLPR,1981,237,16465988,0.987341772151899
CLPR,1982,249,11122887,0.951807228915663
CNRY,1978,124,5863246,0.951612903225806
CNRY,1979,102,8086821,0.970588235294118
CNRY,1980,271,18891334,0.966789667896679
CNRY,1981,237,16465988,0.978902953586498
CNRY,1982,249,11122887,0.963855421686747
COPP,1978,124,5863246,1
COPP,1979,102,8086821,1
COPP,1980,271,18891334,0.985239852398524
COPP,1981,237,16465988,1
COPP,1982,249,11122887,0.987951807228916
CWCD,1978,124,5863246,1
CWCD,1979,102,8086821,0.990196078431373
CWCD,1980,271,18891334,0.992619926199262
CWCD,1981,237,16465988,0.987341772151899
CWCD,1982,249,11122887,0.987951807228916
DBRK,1978,124,5863246,0.959677419354839
DBRK,1979,102,8086821,0.96078431372549
DBRK,1980,271,18891334,0.959409594095941
DBRK,1981,237,16465988,0.962025316455696
DBRK,1982,249,11122887,0.919678714859438
EGLS,1978,124,5863246,1
EGLS,1979,102,8086821,0.990196078431373
EGLS,1980,271,18891334,0.922509225092251
EGLS,1981,237,16465988,0.928270042194093
EGLS,1982,249,11122887,0.947791164658635
FLAG,1978,124,5863246,1
FLAG,1979,102,8086821,1
FLAG,1980,271,18891334,0.996309963099631
FLAG,1981,237,16465988,0.991561181434599
FLAG,1982,249,11122887,0.991967871485944
GBLC,1978,124,5863246,1
GBLC,1979,102,8086821,0.980392156862745
GBLC,1980,271,18891334,0.992619926199262
GBLC,1981,237,16465988,1
GBLC,1982,249,11122887,0.991967871485944
GRAS,1978,124,5863246,0.854838709677419
GRAS,1979,102,8086821,0.843137254901961
GRAS,1980,271,18891334,1
GRAS,1981,237,16465988,0.983122362869198
GRAS,1982,249,11122887,0.943775100401606
GSPT,1978,124,5863246,0.991935483870968
GSPT,1979,102,8086821,0.990196078431373
GSPT,1980,271,18891334,0.988929889298893
GSPT,1981,237,16465988,0.978902953586498
GSPT,1982,249,11122887,0.995983935742972
GSRK,1978,124,5863246,0.983870967741935
GSRK,1979,102,8086821,0.980392156862745
GSRK,1980,271,18891334,0.981549815498155
GSRK,1981,237,16465988,1
GSRK,1982,249,11122887,0.979919678714859
LCOD,1978,124,5863246,0.991935483870968
LCOD,1979,102,8086821,1
LCOD,1980,271,18891334,0.96309963099631
LCOD,1981,237,16465988,0.991561181434599
LCOD,1982,249,11122887,1
LSPN,1978,124,5863246,0.991935483870968
LSPN,1979,102,8086821,0.852941176470588
LSPN,1980,271,18891334,0.996309963099631
LSPN,1981,237,16465988,1
LSPN,1982,249,11122887,1
MXRF,1978,124,5863246,0.854838709677419
MXRF,1979,102,8086821,1
MXRF,1980,271,18891334,0.992619926199262
MXRF,1981,237,16465988,0.957805907172996
MXRF,1982,249,11122887,0.971887550200803
OLVE,1978,124,5863246,1
OLVE,1979,102,8086821,0.970588235294118
OLVE,1980,271,18891334,0.996309963099631
OLVE,1981,237,16465988,0.915611814345992
OLVE,1982,249,11122887,0.947791164658635
POP,1978,124,5863246,0.991935483870968
POP,1979,102,8086821,0.990196078431373
POP,1980,271,18891334,0.966789667896679
POP,1981,237,16465988,0.9957805907173
POP,1982,249,11122887,0.983935742971888
