margCWCD,n,landing,coverage
BDG,9,0,1
BRG,326,19164,0.993865030674847
CRS,50,0,1
ERK,323,0,1
MNT,108,5665,0.981481481481482
MRO,138,79368,0.971014492753623
OSF,29,6027,0.96551724137931
HKL,110,78600,0.972727272727273
NET,6,0,1
TWL,867,31624,0.993079584775087
1978,124,0,1
1979,102,28859,0.990196078431373
1980,271,22193,0.992619926199262
1981,237,21283,0.987341772151899
1982,249,37889,0.987951807228916
Q1,162,8257,0.987654320987654
Q2,289,19263,0.993079584775087
Q3,340,81353,0.985294117647059
Q4,192,1351,1
