"marginalWDOW","n","landing","coverage"
"BDG",9,13218,1
"BRG",326,635196,0.97239263803681
"CRS",50,182129,0.98
"ERK",323,15744399,0.804953560371517
"MNT",108,570494,0.898148148148148
"MRO",138,219593,1
"OSF",29,788477,0.96551724137931
"HKL",110,208182,0.990909090909091
"NET",6,10917,1
"TWL",867,17934407,0.903114186851211
"1978",124,749148,0.943548387096774
"1979",102,2751370,0.901960784313726
"1980",271,10708990,0.881918819188192
"1981",237,3288416,0.873417721518987
"1982",249,655582,0.975903614457831
"Q1",162,4011229,0.895061728395062
"Q2",289,4284190,0.882352941176471
"Q3",340,4756660,0.938235294117647
"Q4",192,5101427,0.932291666666667
