species,year,n,landing,coverage
ARRA,1978,124,5863246,0.991935483870968
ARRA,1979,102,8086821,0.990196078431373
ARRA,1980,271,18891334,0.981549815498155
ARRA,1981,237,16465988,0.983122362869198
ARRA,1982,249,11122887,0.943775100401606
BANK,1978,124,5863246,0.967741935483871
BANK,1979,102,8086821,0.990196078431373
BANK,1980,271,18891334,0.985239852398524
BANK,1981,237,16465988,0.936708860759494
BANK,1982,249,11122887,0.967871485943775
BCAC,1978,124,5863246,0.935483870967742
BCAC,1979,102,8086821,0.96078431372549
BCAC,1980,271,18891334,0.948339483394834
BCAC,1981,237,16465988,0.911392405063291
BCAC,1982,249,11122887,0.923694779116466
BLCK,1978,124,5863246,0.967741935483871
BLCK,1979,102,8086821,1
BLCK,1980,271,18891334,0.948339483394834
BLCK,1981,237,16465988,0.932489451476793
BLCK,1982,249,11122887,0.899598393574297
BLGL,1978,124,5863246,0.975806451612903
BLGL,1979,102,8086821,0.941176470588235
BLGL,1980,271,18891334,0.974169741697417
BLGL,1981,237,16465988,0.978902953586498
BLGL,1982,249,11122887,0.963855421686747
BLUR,1978,124,5863246,1
BLUR,1979,102,8086821,0.950980392156863
BLUR,1980,271,18891334,0.992619926199262
BLUR,1981,237,16465988,0.9957805907173
BLUR,1982,249,11122887,0.987951807228916
BRNZ,1978,124,5863246,0.766129032258065
BRNZ,1979,102,8086821,0.990196078431373
BRNZ,1980,271,18891334,0.885608856088561
BRNZ,1981,237,16465988,0.886075949367089
BRNZ,1982,249,11122887,0.995983935742972
BRWN,1978,124,5863246,0.991935483870968
BRWN,1979,102,8086821,1
BRWN,1980,271,18891334,0.988929889298893
BRWN,1981,237,16465988,0.9957805907173
BRWN,1982,249,11122887,0.995983935742972
CBZN,1978,124,5863246,0.879032258064516
CBZN,1979,102,8086821,0.990196078431373
CBZN,1980,271,18891334,0.985239852398524
CBZN,1981,237,16465988,0.873417721518987
CBZN,1982,249,11122887,0.85140562248996
CLPR,1978,124,5863246,0.967741935483871
CLPR,1979,102,8086821,0.872549019607843
CLPR,1980,271,18891334,0.933579335793358
CLPR,1981,237,16465988,0.962025316455696
CLPR,1982,249,11122887,0.979919678714859
CNRY,1978,124,5863246,0.895161290322581
CNRY,1979,102,8086821,0.950980392156863
CNRY,1980,271,18891334,0.922509225092251
CNRY,1981,237,16465988,0.957805907172996
CNRY,1982,249,11122887,0.955823293172691
COPP,1978,124,5863246,1
COPP,1979,102,8086821,1
COPP,1980,271,18891334,0.985239852398524
COPP,1981,237,16465988,1
COPP,1982,249,11122887,0.987951807228916
CWCD,1978,124,5863246,1
CWCD,1979,102,8086821,0.970588235294118
CWCD,1980,271,18891334,0.981549815498155
CWCD,1981,237,16465988,0.983122362869198
CWCD,1982,249,11122887,0.983935742971888
DBRK,1978,124,5863246,0.935483870967742
DBRK,1979,102,8086821,0.96078431372549
DBRK,1980,271,18891334,0.955719557195572
DBRK,1981,237,16465988,0.940928270042194
DBRK,1982,249,11122887,0.911646586345382
EGLS,1978,124,5863246,0.82258064516129
EGLS,1979,102,8086821,1
EGLS,1980,271,18891334,0.996309963099631
EGLS,1981,237,16465988,0.949367088607595
EGLS,1982,249,11122887,0.955823293172691
FLAG,1978,124,5863246,1
FLAG,1979,102,8086821,1
FLAG,1980,271,18891334,0.996309963099631
FLAG,1981,237,16465988,0.983122362869198
FLAG,1982,249,11122887,0.991967871485944
GBLC,1978,124,5863246,1
GBLC,1979,102,8086821,0.980392156862745
GBLC,1980,271,18891334,0.992619926199262
GBLC,1981,237,16465988,1
GBLC,1982,249,11122887,0.991967871485944
GRAS,1978,124,5863246,1
GRAS,1979,102,8086821,0.980392156862745
GRAS,1980,271,18891334,0.985239852398524
GRAS,1981,237,16465988,0.978902953586498
GRAS,1982,249,11122887,0.947791164658635
GSPT,1978,124,5863246,0.991935483870968
GSPT,1979,102,8086821,1
GSPT,1980,271,18891334,0.988929889298893
GSPT,1981,237,16465988,0.983122362869198
GSPT,1982,249,11122887,0.995983935742972
GSRK,1978,124,5863246,0.983870967741935
GSRK,1979,102,8086821,0.980392156862745
GSRK,1980,271,18891334,0.985239852398524
GSRK,1981,237,16465988,0.9957805907173
GSRK,1982,249,11122887,0.987951807228916
LCOD,1978,124,5863246,0.967741935483871
LCOD,1979,102,8086821,0.96078431372549
LCOD,1980,271,18891334,0.940959409594096
LCOD,1981,237,16465988,0.991561181434599
LCOD,1982,249,11122887,0.995983935742972
LSPN,1978,124,5863246,0.991935483870968
LSPN,1979,102,8086821,1
LSPN,1980,271,18891334,0.996309963099631
LSPN,1981,237,16465988,1
LSPN,1982,249,11122887,0.995983935742972
MXRF,1978,124,5863246,1
MXRF,1979,102,8086821,1
MXRF,1980,271,18891334,0.985239852398524
MXRF,1981,237,16465988,1
MXRF,1982,249,11122887,0.987951807228916
OLVE,1978,124,5863246,1
OLVE,1979,102,8086821,0.970588235294118
OLVE,1980,271,18891334,0.992619926199262
OLVE,1981,237,16465988,0.9957805907173
OLVE,1982,249,11122887,0.991967871485944
POP,1978,124,5863246,0.975806451612903
POP,1979,102,8086821,0.970588235294118
POP,1980,271,18891334,0.966789667896679
POP,1981,237,16465988,0.987341772151899
POP,1982,249,11122887,0.927710843373494
