margSTRK,n,landing,coverage
BDG,9,0,1
BRG,326,127568,0.812883435582822
CRS,50,10870,0.88
ERK,323,14240,0.959752321981424
MNT,108,28922,0.925925925925926
MRO,138,0,1
OSF,29,4362,0.96551724137931
HKL,110,0,1
NET,6,0,1
TWL,867,185962,0.897347174163783
1978,124,25258,0.806451612903226
1979,102,67002,0.803921568627451
1980,271,65546,0.896678966789668
1981,237,6271,0.978902953586498
1982,249,21885,0.951807228915663
Q1,162,30435,0.950617283950617
Q2,289,30177,0.944636678200692
Q3,340,73936,0.852941176470588
Q4,192,51414,0.921875
