"marginalYTRK","n","landing","coverage"
"BDG",9,4003,1
"BRG",326,492844,0.98159509202454
"CRS",50,465516,0.94
"ERK",323,885402,0.959752321981424
"MNT",108,333889,0.944444444444444
"MRO",138,199364,0.956521739130435
"OSF",29,55138,1
"HKL",110,571560,0.936363636363636
"NET",6,31893,0.833333333333333
"TWL",867,1832703,0.970011534025375
"1978",124,618089,0.967741935483871
"1979",102,154519,0.990196078431373
"1980",271,242145,0.959409594095941
"1981",237,767033,0.953586497890295
"1982",249,654370,0.971887550200803
"Q1",162,493422,0.969135802469136
"Q2",289,309370,0.97923875432526
"Q3",340,1084024,0.970588235294118
"Q4",192,549340,0.932291666666667
