margYEYE,n,landing,coverage
BDG,31,7555,0.967741935483871
BRG,420,334053,0.957142857142857
CRS,73,152028,0.945205479452055
ERK,533,126700,0.977485928705441
MNT,249,0,1
MRO,201,70542,0.890547263681592
OSF,65,54294,0.953846153846154
HKL,128,88036,0.8125
NET,24,0,1
TWL,1420,657136,0.974647887323944
1978,124,184810,0.983870967741935
1979,102,64571,0.96078431372549
1980,271,48575,0.952029520295203
1981,237,99037,0.949367088607595
1982,249,206954,0.959839357429719
1983,312,80586,0.967948717948718
1984,277,60639,0.967509025270758
Q1,277,109164,0.96028880866426
Q2,441,255942,0.961451247165533
Q3,534,250840,0.966292134831461
Q4,320,129226,0.95625
