margBCAC,n,landing,coverage
BDG,9,689945,0.666666666666667
BRG,326,4401338,0.947852760736196
CRS,50,570089,1
ERK,323,2934116,0.95046439628483
MNT,108,2426405,0.944444444444444
MRO,138,1605793,0.869565217391304
OSF,29,1665847,0.827586206896552
HKL,110,906394,0.9
NET,6,20053,1
TWL,867,13367086,0.937716262975779
1978,124,1320166,0.943548387096774
1979,102,1408999,0.931372549019608
1980,271,2700181,0.944649446494465
1981,237,5193394,0.907172995780591
1982,249,3670793,0.943775100401606
Q1,162,3371850,0.901234567901235
Q2,289,3877067,0.934256055363322
Q3,340,4274305,0.932352941176471
Q4,192,2770311,0.963541666666667
