margYTRK,n,landing,coverage
BDG,9,4003,1
BRG,326,492844,0.99079754601227
CRS,50,465516,0.96
ERK,323,885402,0.962848297213622
MNT,108,333889,0.944444444444444
MRO,138,199364,0.956521739130435
OSF,29,55138,1
HKL,110,571560,0.936363636363636
NET,6,31893,0.833333333333333
TWL,867,1832703,0.975778546712803
1978,124,618089,0.983870967741935
1979,102,154519,0.980392156862745
1980,271,242145,0.966789667896679
1981,237,767033,0.957805907172996
1982,249,654370,0.975903614457831
Q1,162,493422,0.975308641975309
Q2,289,309370,0.982698961937716
Q3,340,1084024,0.970588235294118
Q4,192,549340,0.947916666666667
