"marginalCLPR","n","landing","coverage"
"BDG",9,160601,0.555555555555556
"BRG",326,5460561,0.493865030674847
"CRS",50,18822,0.98
"ERK",323,1278213,0.879256965944272
"MNT",108,1573782,0.648148148148148
"MRO",138,841860,0.768115942028985
"OSF",29,837157,0.586206896551724
"HKL",110,597138,0.818181818181818
"NET",6,0,1
"TWL",867,9573858,0.687427912341407
"1978",124,1172492,0.653225806451613
"1979",102,2327247,0.558823529411765
"1980",271,2560887,0.682656826568266
"1981",237,2252765,0.763713080168776
"1982",249,1857605,0.755020080321285
"Q1",162,2134234,0.697530864197531
"Q2",289,2254890,0.754325259515571
"Q3",340,3183438,0.694117647058824
"Q4",192,2598434,0.651041666666667
