ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
5.74713e-02,0.00000e+00,5.74713e-02,5.74713e-02,0.00000e+00,0.00000e+00,5.74713e-02,0.00000e+00,4.48276e-02,0.00000e+00,0.00000e+00,2.06897e-02,0.00000e+00,5.74713e-02,5.63218e-02,5.74713e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.87356e-02,5.74713e-02,4.48276e-02,0.00000e+00,5.74713e-02,5.74713e-02,5.74713e-02,5.74713e-02,5.74713e-02,5.74713e-02,0.00000e+00,5.74713e-02
6.94927e-02,6.94927e-02,6.94927e-02,5.76789e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.94927e-02,6.94927e-02,0.00000e+00,0.00000e+00,0.00000e+00,6.94927e-02,6.87978e-02,6.94927e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.94927e-04,0.00000e+00,0.00000e+00,6.94927e-02,3.89159e-02,6.94927e-02,6.94927e-02,6.94927e-02,6.94927e-02,0.00000e+00,0.00000e+00
1.50115e-02,5.77367e-02,5.77367e-02,5.77367e-02,0.00000e+00,5.77367e-02,0.00000e+00,5.77367e-02,5.77367e-02,0.00000e+00,1.09700e-02,5.77367e-02,5.77367e-03,5.77367e-02,5.77367e-02,5.77367e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.77367e-02,5.77367e-02,1.90531e-02,0.00000e+00,0.00000e+00,5.77367e-02,5.77367e-02,5.77367e-02,3.46420e-03,5.77367e-02,1.90531e-02,2.88684e-03
4.54825e-02,6.14628e-02,6.14628e-02,0.00000e+00,6.14628e-02,6.14628e-04,6.08482e-02,0.00000e+00,6.14628e-02,0.00000e+00,6.14628e-02,3.68777e-02,0.00000e+00,6.14628e-02,1.10633e-02,6.14628e-02,0.00000e+00,0.00000e+00,6.14628e-02,0.00000e+00,3.13460e-02,0.00000e+00,0.00000e+00,6.08482e-02,6.14628e-02,1.78242e-02,6.14628e-02,6.14628e-02,2.70436e-02,2.51998e-02,6.76091e-03,0.00000e+00
7.08092e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.22543e-02,2.89017e-03,7.22543e-02,1.44509e-03,0.00000e+00,7.22543e-02,0.00000e+00,7.22543e-02,0.00000e+00,7.22543e-02,7.15318e-02,7.22543e-02,4.33526e-02,0.00000e+00,7.22543e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.22543e-02,7.22543e-02,7.22543e-02,1.51734e-02,7.22543e-02,0.00000e+00,0.00000e+00
6.30517e-02,0.00000e+00,6.30517e-02,6.30517e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.30517e-02,0.00000e+00,0.00000e+00,0.00000e+00,6.30517e-02,6.30517e-02,5.61160e-02,6.30517e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.30517e-02,6.30517e-02,0.00000e+00,0.00000e+00,2.33291e-02,6.30517e-02,3.72005e-02,6.30517e-02,6.30517e-02,6.30517e-02,6.30517e-04,6.30517e-02
6.93963e-02,0.00000e+00,2.49827e-02,6.93963e-02,0.00000e+00,0.00000e+00,6.73144e-02,6.93963e-02,6.93963e-02,0.00000e+00,6.93963e-02,6.93963e-02,6.93963e-02,6.73144e-02,6.93963e-02,6.93963e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.08189e-03,0.00000e+00,3.46981e-03,0.00000e+00,6.93963e-02,0.00000e+00,6.93963e-04,6.93963e-02,6.93963e-04,6.93963e-04,6.93963e-02
5.73723e-02,0.00000e+00,0.00000e+00,5.73723e-02,5.73723e-02,5.73723e-02,0.00000e+00,4.93402e-02,5.73723e-02,5.62249e-02,0.00000e+00,5.73723e-02,2.52438e-02,5.22088e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.73723e-02,0.00000e+00,2.29489e-03,0.00000e+00,5.73723e-02,0.00000e+00,4.81928e-02,2.86862e-03,5.73723e-02,5.73723e-02,5.73723e-02,5.73723e-02,1.77854e-02,0.00000e+00,5.73723e-02
6.82594e-02,5.87031e-02,1.36519e-03,0.00000e+00,0.00000e+00,6.82594e-02,0.00000e+00,6.82594e-04,6.82594e-02,0.00000e+00,8.19113e-03,0.00000e+00,0.00000e+00,2.38908e-02,0.00000e+00,6.82594e-02,0.00000e+00,6.62116e-02,6.82594e-02,0.00000e+00,0.00000e+00,6.82594e-02,5.93857e-02,0.00000e+00,6.82594e-02,6.82594e-02,2.38908e-02,1.50171e-02,6.07509e-02,6.82594e-02,0.00000e+00,6.75768e-02
7.13776e-02,7.13776e-02,7.13776e-04,0.00000e+00,2.14133e-03,7.13776e-02,7.13776e-02,0.00000e+00,4.71092e-02,0.00000e+00,0.00000e+00,7.13776e-02,0.00000e+00,7.13776e-02,0.00000e+00,7.13776e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.13776e-02,0.00000e+00,0.00000e+00,0.00000e+00,7.13776e-02,7.13776e-02,2.21271e-02,7.13776e-02,7.13776e-02,0.00000e+00,7.13776e-02
5.05817e-02,0.00000e+00,4.35003e-02,5.05817e-02,5.05817e-02,4.75468e-02,5.05817e-02,0.00000e+00,1.87152e-02,0.00000e+00,5.05817e-02,3.03490e-02,2.22559e-02,5.05817e-02,0.00000e+00,5.05817e-02,0.00000e+00,0.00000e+00,5.05817e-02,0.00000e+00,5.05817e-02,5.05817e-02,0.00000e+00,3.13606e-02,5.05817e-02,5.00759e-02,0.00000e+00,5.05817e-02,5.05817e-02,5.05817e-02,0.00000e+00,4.80526e-02
7.50751e-02,0.00000e+00,7.20721e-02,0.00000e+00,0.00000e+00,0.00000e+00,7.50751e-02,0.00000e+00,7.50751e-02,7.50751e-02,7.50751e-02,0.00000e+00,0.00000e+00,7.35736e-02,0.00000e+00,7.43243e-02,0.00000e+00,0.00000e+00,2.85285e-02,0.00000e+00,0.00000e+00,1.50150e-03,0.00000e+00,0.00000e+00,7.50751e-04,7.50751e-02,0.00000e+00,7.50751e-02,7.50751e-02,7.50751e-02,0.00000e+00,7.35736e-02
5.25762e-02,5.25762e-02,5.15247e-02,0.00000e+00,5.25762e-02,5.25762e-02,5.25762e-04,0.00000e+00,5.25762e-02,5.25762e-02,0.00000e+00,3.36488e-02,5.25762e-02,5.25762e-02,5.09989e-02,5.25762e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.25762e-02,5.25762e-02,3.68034e-02,0.00000e+00,0.00000e+00,5.25762e-02,5.25762e-02,0.00000e+00,3.78549e-02,5.25762e-02,0.00000e+00,5.25762e-02
5.69007e-02,5.62954e-02,0.00000e+00,6.05327e-02,0.00000e+00,2.42131e-03,0.00000e+00,0.00000e+00,6.05327e-02,0.00000e+00,0.00000e+00,4.11622e-02,6.05327e-02,6.05327e-02,6.05327e-02,2.72397e-02,1.69492e-02,0.00000e+00,5.69007e-02,0.00000e+00,6.05327e-02,1.57385e-02,0.00000e+00,0.00000e+00,6.05327e-02,6.05327e-02,6.05327e-02,6.05327e-02,6.05327e-02,6.05327e-02,0.00000e+00,0.00000e+00
5.94884e-02,0.00000e+00,5.94884e-02,5.94884e-02,0.00000e+00,2.08209e-02,3.86675e-02,5.94884e-02,5.94884e-02,4.04521e-02,0.00000e+00,5.88935e-02,0.00000e+00,5.94884e-04,5.94884e-02,5.94884e-02,0.00000e+00,0.00000e+00,5.94884e-04,0.00000e+00,0.00000e+00,5.94884e-02,5.94884e-04,0.00000e+00,6.54372e-03,5.94884e-02,0.00000e+00,5.94884e-02,5.94884e-02,5.94884e-02,5.94884e-02,5.94884e-02
5.52181e-02,0.00000e+00,4.52789e-02,5.52181e-02,0.00000e+00,5.52181e-02,0.00000e+00,5.52181e-02,5.52181e-02,5.52181e-02,6.07399e-03,5.52181e-02,0.00000e+00,3.86527e-02,0.00000e+00,5.52181e-02,5.24572e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.13528e-02,5.52181e-02,0.00000e+00,3.25787e-02,5.52181e-04,0.00000e+00,5.52181e-02,5.52181e-02,5.52181e-02,5.52181e-02,0.00000e+00,5.52181e-02
6.37755e-02,3.06122e-02,6.37755e-02,6.37755e-04,0.00000e+00,0.00000e+00,0.00000e+00,6.12245e-02,0.00000e+00,6.12245e-02,6.37755e-02,6.37755e-02,6.37755e-02,6.37755e-02,6.37755e-04,6.37755e-02,0.00000e+00,0.00000e+00,6.37755e-03,6.25000e-02,7.01531e-03,0.00000e+00,5.03827e-02,0.00000e+00,0.00000e+00,6.37755e-02,6.37755e-02,0.00000e+00,6.37755e-02,1.91327e-02,6.25000e-02,0.00000e+00
5.32765e-02,0.00000e+00,5.32765e-02,5.32765e-02,4.42195e-02,0.00000e+00,1.59830e-03,5.22110e-02,3.51625e-02,5.32765e-02,0.00000e+00,3.67608e-02,5.32765e-02,5.32765e-02,1.70485e-02,5.32765e-02,0.00000e+00,0.00000e+00,5.32765e-02,0.00000e+00,5.32765e-02,2.13106e-02,5.32765e-04,4.84816e-02,0.00000e+00,5.27437e-02,5.00799e-02,5.32765e-02,5.32765e-02,1.59830e-03,5.22110e-02,0.00000e+00
7.58092e-02,0.00000e+00,8.51789e-02,8.51789e-02,0.00000e+00,8.51789e-02,8.51789e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.51789e-04,0.00000e+00,6.81431e-03,4.25894e-03,8.51789e-02,0.00000e+00,0.00000e+00,0.00000e+00,1.61840e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.51789e-02,8.51789e-02,4.42930e-02,8.51789e-02,8.51789e-02,0.00000e+00,8.51789e-02
4.96771e-02,4.96771e-02,4.96771e-02,0.00000e+00,0.00000e+00,4.96771e-02,4.96771e-02,8.94188e-03,4.96771e-02,4.96771e-02,0.00000e+00,3.47740e-03,0.00000e+00,4.96771e-02,4.96771e-02,4.96771e-02,0.00000e+00,4.91803e-02,4.71932e-02,0.00000e+00,4.96771e-02,4.96771e-02,0.00000e+00,0.00000e+00,0.00000e+00,4.96771e-02,4.96771e-02,4.96771e-02,4.66965e-02,4.96771e-02,0.00000e+00,4.96771e-02
5.87889e-02,6.46678e-03,5.82011e-02,0.00000e+00,0.00000e+00,0.00000e+00,3.35097e-02,5.82011e-02,5.87889e-02,0.00000e+00,5.87889e-02,0.00000e+00,5.87889e-04,5.87889e-02,5.87889e-02,5.87889e-02,0.00000e+00,0.00000e+00,5.87889e-02,0.00000e+00,8.81834e-03,9.99412e-03,0.00000e+00,2.35156e-03,5.87889e-02,5.87889e-02,5.87889e-02,5.87889e-02,5.87889e-02,5.76132e-02,0.00000e+00,5.87889e-02
3.61524e-02,6.45578e-02,6.45578e-02,6.26210e-02,0.00000e+00,0.00000e+00,6.45578e-02,0.00000e+00,6.39122e-02,1.74306e-02,6.45578e-02,5.81020e-02,0.00000e+00,6.45578e-02,0.00000e+00,0.00000e+00,6.45578e-04,6.45578e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.10006e-02,0.00000e+00,0.00000e+00,0.00000e+00,6.45578e-02,6.45578e-02,6.45578e-02,6.45578e-02,6.45578e-02,0.00000e+00,0.00000e+00
5.54324e-02,2.05100e-02,5.54324e-02,5.54324e-02,5.54324e-02,5.21064e-02,2.32816e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.26608e-02,5.54324e-02,5.54324e-02,1.77384e-02,1.66297e-03,0.00000e+00,5.43237e-02,0.00000e+00,5.54324e-02,5.48780e-02,5.54324e-04,0.00000e+00,3.32594e-03,5.37694e-02,5.54324e-02,5.54324e-02,0.00000e+00,5.54324e-02,5.54324e-02,0.00000e+00,5.54324e-02
7.34754e-02,0.00000e+00,7.34754e-02,0.00000e+00,7.34754e-02,5.87803e-03,1.46951e-03,0.00000e+00,1.32256e-02,4.40852e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.46951e-03,7.34754e-02,7.34754e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.46951e-03,2.64511e-02,2.20426e-03,0.00000e+00,7.34754e-02,7.34754e-02,6.24541e-02,7.34754e-02,7.27406e-02,7.34754e-02,7.34754e-02,7.34754e-02
5.60538e-02,5.60538e-02,5.60538e-02,1.12108e-03,5.60538e-02,0.00000e+00,5.60538e-02,5.60538e-02,5.60538e-02,0.00000e+00,0.00000e+00,5.60538e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.60538e-02,5.60538e-02,0.00000e+00,1.68161e-03,0.00000e+00,4.42825e-02,5.60538e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.60538e-02,5.60538e-02,5.60538e-02,5.60538e-02,5.60538e-02,0.00000e+00,5.60538e-02
9.04977e-02,0.00000e+00,0.00000e+00,0.00000e+00,1.35747e-02,9.04977e-02,0.00000e+00,0.00000e+00,3.71041e-02,0.00000e+00,0.00000e+00,5.15837e-02,0.00000e+00,9.04977e-02,9.04977e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.04977e-02,9.04977e-02,0.00000e+00,1.80995e-03,0.00000e+00,9.04977e-02,9.04977e-02,0.00000e+00,9.04977e-02,8.14480e-02,0.00000e+00,0.00000e+00
6.19195e-02,5.88235e-02,6.19195e-02,6.13003e-02,6.19195e-02,6.19195e-02,0.00000e+00,6.13003e-02,6.19195e-02,0.00000e+00,7.43034e-03,0.00000e+00,0.00000e+00,6.19195e-02,0.00000e+00,6.19195e-02,0.00000e+00,0.00000e+00,0.00000e+00,1.23839e-03,0.00000e+00,5.69659e-02,6.19195e-02,9.28793e-03,0.00000e+00,6.19195e-02,6.19195e-02,6.19195e-04,6.19195e-02,6.19195e-02,0.00000e+00,0.00000e+00
5.17866e-02,5.02330e-02,5.17866e-02,5.17866e-02,1.19109e-02,5.17866e-02,0.00000e+00,0.00000e+00,0.00000e+00,1.08752e-02,4.71258e-02,2.33040e-02,0.00000e+00,5.17866e-02,2.79648e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.17866e-02,0.00000e+00,5.17866e-02,5.17866e-02,5.17866e-02,0.00000e+00,5.17866e-02,5.17866e-02,5.17866e-02,5.17866e-02,5.17866e-02,5.17866e-02,0.00000e+00,5.17866e-02
5.74053e-02,2.29621e-03,0.00000e+00,5.74053e-02,1.14811e-03,5.74053e-02,5.74053e-02,0.00000e+00,1.72216e-02,0.00000e+00,5.39610e-02,5.74053e-02,5.74053e-02,5.74053e-02,1.03330e-02,5.74053e-02,0.00000e+00,3.09989e-02,5.74053e-02,5.74053e-04,3.96096e-02,5.74053e-02,5.74053e-02,0.00000e+00,5.74053e-04,0.00000e+00,5.74053e-02,5.74053e-02,5.74053e-02,5.74053e-04,0.00000e+00,3.90356e-02
1.15274e-02,0.00000e+00,7.20461e-02,7.20461e-02,0.00000e+00,6.05187e-02,0.00000e+00,0.00000e+00,7.20461e-02,0.00000e+00,7.20461e-02,0.00000e+00,7.20461e-02,7.20461e-02,0.00000e+00,5.04323e-02,0.00000e+00,0.00000e+00,4.39481e-02,0.00000e+00,7.20461e-02,7.13256e-02,0.00000e+00,0.00000e+00,0.00000e+00,7.20461e-02,7.20461e-02,4.97118e-02,3.60231e-03,0.00000e+00,6.05187e-02,0.00000e+00
6.07165e-02,6.01093e-02,6.07165e-02,6.07165e-02,6.07165e-02,5.82878e-02,0.00000e+00,0.00000e+00,6.01093e-02,5.46448e-03,4.91803e-02,5.22162e-02,0.00000e+00,6.07165e-02,4.91803e-02,6.07165e-02,6.07165e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.07165e-02,6.07165e-04,0.00000e+00,6.07165e-04,6.07165e-02,6.07165e-02,6.07165e-04,6.07165e-02,5.40376e-02,0.00000e+00,1.82149e-03
7.86164e-02,7.86164e-02,7.86164e-02,7.86164e-02,7.86164e-02,0.00000e+00,0.00000e+00,7.07547e-03,7.86164e-02,0.00000e+00,2.04403e-02,0.00000e+00,7.86164e-02,7.86164e-04,0.00000e+00,7.86164e-02,0.00000e+00,7.86164e-02,0.00000e+00,0.00000e+00,7.86164e-02,1.88679e-02,0.00000e+00,0.00000e+00,5.50314e-03,7.86164e-02,7.86164e-02,0.00000e+00,3.93082e-03,0.00000e+00,0.00000e+00,0.00000e+00
6.47668e-02,0.00000e+00,6.47668e-02,6.41192e-02,0.00000e+00,2.59067e-03,3.43264e-02,0.00000e+00,2.65544e-02,0.00000e+00,0.00000e+00,6.47668e-02,6.47668e-02,6.47668e-02,6.47668e-02,6.47668e-02,6.15285e-02,0.00000e+00,6.47668e-02,0.00000e+00,0.00000e+00,4.72798e-02,0.00000e+00,0.00000e+00,0.00000e+00,6.47668e-02,6.47668e-02,3.23834e-03,6.47668e-02,4.79275e-02,0.00000e+00,0.00000e+00
7.29927e-02,7.29927e-02,2.91971e-03,1.45985e-02,0.00000e+00,0.00000e+00,7.29927e-04,0.00000e+00,3.43066e-02,0.00000e+00,6.56934e-02,7.29927e-02,0.00000e+00,0.00000e+00,7.29927e-02,7.29927e-02,1.67883e-02,0.00000e+00,0.00000e+00,7.29927e-02,0.00000e+00,6.13139e-02,7.29927e-04,7.29927e-02,0.00000e+00,7.29927e-02,0.00000e+00,7.29927e-02,7.29927e-02,0.00000e+00,0.00000e+00,7.29927e-02
1.88406e-02,6.52174e-02,7.24638e-02,4.13043e-02,0.00000e+00,0.00000e+00,6.37681e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.24638e-02,7.24638e-02,4.34783e-03,5.86957e-02,7.24638e-02,0.00000e+00,0.00000e+00,7.24638e-04,0.00000e+00,7.24638e-02,0.00000e+00,0.00000e+00,0.00000e+00,7.24638e-02,2.24638e-02,7.24638e-02,7.24638e-02,7.24638e-02,7.24638e-02,0.00000e+00,0.00000e+00
5.81734e-02,5.81734e-02,5.81734e-02,5.81734e-04,0.00000e+00,5.75916e-02,3.37405e-02,0.00000e+00,5.81734e-02,0.00000e+00,0.00000e+00,0.00000e+00,2.50145e-02,4.42118e-02,2.96684e-02,5.81734e-02,0.00000e+00,5.81734e-02,0.00000e+00,0.00000e+00,5.81734e-02,3.72309e-02,1.91972e-02,3.54857e-02,5.81734e-02,5.81734e-02,0.00000e+00,5.81734e-02,5.81734e-02,5.81734e-02,0.00000e+00,1.91972e-02
6.64452e-02,6.64452e-02,1.12957e-02,0.00000e+00,6.64452e-02,5.58140e-02,5.98007e-02,0.00000e+00,0.00000e+00,6.64452e-04,0.00000e+00,6.64452e-02,0.00000e+00,6.64452e-02,6.64452e-02,6.64452e-02,0.00000e+00,0.00000e+00,6.64452e-04,0.00000e+00,6.64452e-02,9.30233e-03,0.00000e+00,0.00000e+00,0.00000e+00,6.57807e-02,6.57807e-02,6.64452e-02,6.64452e-02,6.64452e-02,0.00000e+00,0.00000e+00
6.29723e-02,0.00000e+00,6.29723e-02,6.29723e-02,0.00000e+00,6.29723e-02,0.00000e+00,0.00000e+00,6.29723e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.29723e-02,6.04534e-02,6.29723e-02,0.00000e+00,0.00000e+00,6.29723e-02,0.00000e+00,6.29723e-02,6.29723e-02,3.77834e-02,0.00000e+00,6.29723e-02,0.00000e+00,6.29723e-02,5.98237e-02,6.29723e-02,2.20403e-02,1.25945e-03,0.00000e+00
5.30223e-02,0.00000e+00,5.30223e-02,2.65111e-02,5.30223e-02,5.14316e-02,5.30223e-02,0.00000e+00,5.30223e-02,5.19618e-02,4.93107e-02,5.30223e-02,0.00000e+00,5.30223e-02,5.30223e-04,0.00000e+00,0.00000e+00,0.00000e+00,2.33298e-02,5.30223e-04,5.30223e-03,4.40085e-02,5.30223e-02,0.00000e+00,5.30223e-02,5.30223e-02,5.30223e-02,5.03712e-02,5.30223e-02,5.30223e-02,7.42312e-03,0.00000e+00
6.30120e-02,6.30120e-02,2.52048e-02,1.26024e-03,5.29301e-02,6.30120e-02,2.45747e-02,0.00000e+00,0.00000e+00,1.89036e-03,0.00000e+00,6.30120e-04,6.30120e-02,6.30120e-02,1.26024e-03,6.30120e-02,0.00000e+00,0.00000e+00,6.30120e-02,0.00000e+00,6.11216e-02,0.00000e+00,0.00000e+00,6.30120e-02,0.00000e+00,6.30120e-02,6.30120e-02,5.86011e-02,6.30120e-02,5.92313e-02,0.00000e+00,2.01638e-02
0.00000e+00,0.00000e+00,6.82128e-02,6.82128e-02,0.00000e+00,1.97817e-02,0.00000e+00,0.00000e+00,6.82128e-02,6.82128e-02,1.36426e-03,6.75307e-02,0.00000e+00,6.82128e-02,0.00000e+00,6.82128e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.68486e-02,6.75307e-02,6.82128e-02,0.00000e+00,0.00000e+00,6.82128e-02,6.82128e-02,6.82128e-02,6.82128e-02,2.59209e-02,0.00000e+00,6.82128e-04
0.00000e+00,7.28863e-02,0.00000e+00,7.28863e-02,0.00000e+00,2.18659e-03,0.00000e+00,0.00000e+00,0.00000e+00,7.28863e-02,0.00000e+00,1.45773e-02,7.28863e-04,3.49854e-02,7.28863e-02,7.28863e-02,0.00000e+00,0.00000e+00,7.28863e-02,0.00000e+00,0.00000e+00,0.00000e+00,7.28863e-02,0.00000e+00,7.28863e-02,0.00000e+00,7.28863e-02,7.28863e-02,7.28863e-02,7.28863e-02,0.00000e+00,7.28863e-02
5.95948e-02,0.00000e+00,5.95948e-02,1.19190e-03,5.95948e-04,5.95948e-02,0.00000e+00,0.00000e+00,5.95948e-02,0.00000e+00,5.95948e-02,5.95948e-02,3.03933e-02,5.95948e-02,5.89988e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.19190e-03,5.95948e-02,0.00000e+00,5.95948e-02,1.19190e-03,5.95948e-02,8.34327e-03,2.26460e-02,5.95948e-02,5.95948e-02,5.95948e-02,4.52920e-02,5.54231e-02
5.53097e-02,0.00000e+00,5.47566e-02,0.00000e+00,5.53097e-04,5.53097e-02,0.00000e+00,0.00000e+00,2.54425e-02,5.25442e-02,4.75664e-02,5.53097e-04,0.00000e+00,5.53097e-02,5.53097e-02,5.53097e-02,0.00000e+00,0.00000e+00,5.53097e-02,5.53097e-02,5.53097e-02,5.36504e-02,0.00000e+00,5.53097e-02,2.82080e-02,5.53097e-02,5.53097e-02,5.53097e-02,1.76991e-02,5.53097e-02,0.00000e+00,0.00000e+00
6.92042e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.68858e-03,6.92042e-02,6.92042e-02,0.00000e+00,6.92042e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.92042e-02,6.92042e-02,6.92042e-02,6.92042e-02,0.00000e+00,0.00000e+00,0.00000e+00,4.15225e-03,6.29758e-02,0.00000e+00,0.00000e+00,2.42215e-02,6.92042e-02,6.92042e-02,6.92042e-02,6.92042e-02,5.53633e-03,0.00000e+00,6.29758e-02
7.77605e-02,7.62053e-02,1.32193e-02,7.77605e-02,0.00000e+00,0.00000e+00,6.37636e-02,0.00000e+00,4.35459e-02,0.00000e+00,7.77605e-02,0.00000e+00,0.00000e+00,7.77605e-02,0.00000e+00,6.14308e-02,3.88802e-03,0.00000e+00,7.77605e-02,0.00000e+00,0.00000e+00,3.88802e-03,7.77605e-04,7.69829e-02,7.77605e-03,0.00000e+00,7.77605e-02,7.77605e-02,2.48834e-02,7.77605e-02,0.00000e+00,1.55521e-03
6.07903e-02,5.65350e-02,5.83587e-02,4.25532e-03,0.00000e+00,3.03951e-03,6.07903e-02,2.31003e-02,6.07903e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.95745e-02,6.07903e-02,6.07903e-02,0.00000e+00,0.00000e+00,0.00000e+00,6.07903e-02,6.07903e-02,0.00000e+00,7.90274e-03,0.00000e+00,5.77508e-02,0.00000e+00,6.07903e-02,6.07903e-02,0.00000e+00,6.07903e-02,6.07903e-02,0.00000e+00,6.07903e-02
5.94530e-02,3.56718e-03,0.00000e+00,5.88585e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.94530e-02,0.00000e+00,1.90250e-02,0.00000e+00,5.94530e-02,5.94530e-02,5.94530e-02,5.94530e-02,5.94530e-02,0.00000e+00,4.63734e-02,0.00000e+00,5.23187e-02,0.00000e+00,5.88585e-02,0.00000e+00,3.98335e-02,5.94530e-02,4.10226e-02,5.94530e-02,5.94530e-02,5.94530e-02,2.61593e-02,0.00000e+00
6.29327e-02,0.00000e+00,6.29327e-02,3.65009e-02,0.00000e+00,0.00000e+00,6.29327e-02,0.00000e+00,6.29327e-02,6.23033e-02,0.00000e+00,6.23033e-02,6.29327e-02,6.29327e-02,0.00000e+00,6.29327e-02,0.00000e+00,6.29327e-04,0.00000e+00,0.00000e+00,6.29327e-02,6.29327e-02,6.29327e-02,0.00000e+00,1.63625e-02,6.29327e-02,5.66394e-03,5.28634e-02,0.00000e+00,6.29327e-02,0.00000e+00,8.18125e-03
5.73951e-02,9.56586e-03,7.35835e-02,7.35835e-02,1.03017e-02,5.15085e-02,0.00000e+00,0.00000e+00,6.69610e-02,7.35835e-02,0.00000e+00,7.35835e-02,0.00000e+00,7.35835e-02,0.00000e+00,7.35835e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.35835e-02,0.00000e+00,0.00000e+00,0.00000e+00,7.35835e-02,7.06402e-02,0.00000e+00,0.00000e+00,7.35835e-02,0.00000e+00,7.13760e-02
4.37995e-02,4.74934e-03,4.06332e-02,5.27704e-02,5.27704e-02,0.00000e+00,5.27704e-04,0.00000e+00,2.16359e-02,1.58311e-03,1.05541e-03,4.43272e-02,2.11082e-02,5.27704e-02,5.27704e-02,5.27704e-02,0.00000e+00,5.27704e-02,4.48549e-02,5.27704e-02,5.27704e-02,0.00000e+00,5.27704e-02,0.00000e+00,0.00000e+00,5.27704e-02,5.27704e-02,5.27704e-02,5.27704e-02,4.74934e-02,0.00000e+00,4.22164e-02
5.68900e-03,0.00000e+00,6.32111e-02,0.00000e+00,0.00000e+00,0.00000e+00,6.06827e-02,6.32111e-02,6.32111e-02,6.32111e-04,1.64349e-02,0.00000e+00,0.00000e+00,6.32111e-02,6.32111e-02,6.32111e-02,0.00000e+00,0.00000e+00,4.42478e-03,0.00000e+00,6.32111e-02,2.97092e-02,6.32111e-02,0.00000e+00,6.06827e-02,6.32111e-02,6.32111e-02,6.32111e-02,6.32111e-02,0.00000e+00,0.00000e+00,6.32111e-02
4.37262e-02,0.00000e+00,4.75285e-02,4.75285e-02,4.75285e-02,4.75285e-02,4.75285e-02,4.75285e-04,4.75285e-02,4.65779e-02,0.00000e+00,4.70532e-02,0.00000e+00,0.00000e+00,4.75285e-02,4.75285e-02,9.50570e-04,3.99240e-02,4.70532e-02,0.00000e+00,4.75285e-02,3.80228e-02,4.75285e-02,0.00000e+00,4.75285e-02,4.75285e-02,0.00000e+00,0.00000e+00,4.75285e-02,4.75285e-02,2.47148e-02,4.61027e-02
7.77001e-02,7.77001e-02,0.00000e+00,7.77001e-02,0.00000e+00,7.77001e-02,0.00000e+00,0.00000e+00,7.77001e-02,1.55400e-03,7.77001e-02,0.00000e+00,5.59441e-02,7.77001e-02,7.77001e-04,7.77001e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.77001e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.77001e-02,7.77001e-02,0.00000e+00,7.77001e-02,9.32401e-03,0.00000e+00,0.00000e+00
