margGSRK,n,landing,coverage
BDG,9,45632,1
BRG,326,250576,0.996932515337423
CRS,50,35815,0.96
ERK,323,9750,0.96594427244582
MNT,108,11597,0.972222222222222
MRO,138,1308,1
OSF,29,0,1
HKL,110,2205,0.990909090909091
NET,6,0,1
TWL,867,352473,0.981545559400231
1978,124,20436,0.983870967741935
1979,102,8874,0.980392156862745
1980,271,224858,0.977859778597786
1981,237,23860,0.991561181434599
1982,249,76650,0.979919678714859
Q1,162,208438,0.987654320987654
Q2,289,78136,0.982698961937716
Q3,340,43250,0.976470588235294
Q4,192,24854,0.989583333333333
