"marginalBCAC","n","landing","coverage"
"BDG",9,689945,0.333333333333333
"BRG",326,4401338,0.668711656441718
"CRS",50,570089,0.88
"ERK",323,2934116,0.73374613003096
"MNT",108,2426405,0.601851851851852
"MRO",138,1605793,0.492753623188406
"OSF",29,1665847,0.413793103448276
"HKL",110,906394,0.590909090909091
"NET",6,20053,0.666666666666667
"TWL",867,13367086,0.666666666666667
"1978",124,1320166,0.596774193548387
"1979",102,1408999,0.656862745098039
"1980",271,2700181,0.745387453874539
"1981",237,5193394,0.683544303797468
"1982",249,3670793,0.570281124497992
"Q1",162,3371850,0.660493827160494
"Q2",289,3877067,0.678200692041522
"Q3",340,4274305,0.623529411764706
"Q4",192,2770311,0.6875
