margWDOW,n,landing,coverage
BDG,4,0,1
BRG,6,1243,0.833333333333333
MNT,95,230257,0.663157894736842
MRO,77,375279,0.87012987012987
OSF,63,373984,0.825396825396825
HKL,1,0,1
NET,8,19058,0.25
TWL,236,961705,0.796610169491525
1978,57,141361,0.684210526315789
1980,61,497415,0.80327868852459
1981,42,285587,0.761904761904762
1982,50,35121,0.82
1983,18,21279,0.722222222222222
1984,6,0,1
1985,11,0,1
Q1,55,283925,0.781818181818182
Q2,86,119418,0.802325581395349
Q3,59,341771,0.813559322033898
Q4,45,235649,0.688888888888889
