margCNRY,n,landing,coverage
BDG,9,66834,0.666666666666667
BRG,326,1975794,0.601226993865031
CRS,50,1398777,0.4
ERK,323,1577283,0.625386996904025
MNT,108,20852,0.972222222222222
MRO,138,100136,0.91304347826087
OSF,29,7637,0.862068965517241
HKL,110,132906,0.881818181818182
NET,6,0,1
TWL,867,5014407,0.665513264129181
1978,124,1259855,0.540322580645161
1979,102,626077,0.725490196078431
1980,271,615166,0.671586715867159
1981,237,1146147,0.755274261603376
1982,249,1500068,0.714859437751004
Q1,162,848186,0.790123456790123
Q2,289,1937730,0.678200692041522
Q3,340,1978133,0.629411764705882
Q4,192,383264,0.739583333333333
