margCLPR,n,landing,coverage
BDG,9,160601,0.666666666666667
BRG,326,5460561,0.506134969325153
CRS,50,18822,0.98
ERK,323,1278213,0.879256965944272
MNT,108,1573782,0.62962962962963
MRO,138,841860,0.731884057971015
OSF,29,837157,0.586206896551724
HKL,110,597138,0.781818181818182
NET,6,0,1
TWL,867,9573858,0.689734717416378
1978,124,1172492,0.661290322580645
1979,102,2327247,0.53921568627451
1980,271,2560887,0.686346863468635
1981,237,2252765,0.746835443037975
1982,249,1857605,0.763052208835341
Q1,162,2134234,0.685185185185185
Q2,289,2254890,0.757785467128028
Q3,340,3183438,0.694117647058824
Q4,192,2598434,0.645833333333333
