margGSRK,n,landing,coverage
BDG,9,45632,0.666666666666667
BRG,326,250576,0.865030674846626
CRS,50,35815,0.84
ERK,323,9750,0.953560371517028
MNT,108,11597,0.935185185185185
MRO,138,1308,0.956521739130435
OSF,29,0,1
HKL,110,2205,0.936363636363636
NET,6,0,1
TWL,867,352473,0.912341407151096
1978,124,20436,0.82258064516129
1979,102,8874,0.892156862745098
1980,271,224858,0.92619926199262
1981,237,23860,0.932489451476793
1982,249,76650,0.943775100401606
Q1,162,208438,0.950617283950617
Q2,289,78136,0.923875432525952
Q3,340,43250,0.9
Q4,192,24854,0.901041666666667
