"marginalYEYE","n","landing","coverage"
"BDG",9,0,1
"BRG",326,263217,0.97239263803681
"CRS",50,139402,0.94
"ERK",323,77824,0.987616099071207
"MNT",108,0,1
"MRO",138,70542,0.942028985507246
"OSF",29,52962,0.931034482758621
"HKL",110,88036,0.918181818181818
"NET",6,0,1
"TWL",867,515911,0.980392156862745
"1978",124,184810,0.983870967741935
"1979",102,64571,0.96078431372549
"1980",271,48575,0.974169741697417
"1981",237,99037,0.974683544303797
"1982",249,206954,0.971887550200803
"Q1",162,75920,0.981481481481482
"Q2",289,191218,0.982698961937716
"Q3",340,208539,0.973529411764706
"Q4",192,128270,0.953125
