species,year,n,landing,coverage
ARRA,1978,124,5863246,0.991935483870968
ARRA,1979,102,8086821,0.990196078431373
ARRA,1980,271,18891334,0.981549815498155
ARRA,1981,237,16465988,0.983122362869198
ARRA,1982,249,11122887,0.943775100401606
BANK,1978,124,5863246,0.967741935483871
BANK,1979,102,8086821,0.990196078431373
BANK,1980,271,18891334,0.985239852398524
BANK,1981,237,16465988,0.936708860759494
BANK,1982,249,11122887,0.959839357429719
BCAC,1978,124,5863246,0.92741935483871
BCAC,1979,102,8086821,0.950980392156863
BCAC,1980,271,18891334,0.955719557195572
BCAC,1981,237,16465988,0.919831223628692
BCAC,1982,249,11122887,0.927710843373494
BLCK,1978,124,5863246,0.959677419354839
BLCK,1979,102,8086821,1
BLCK,1980,271,18891334,0.944649446494465
BLCK,1981,237,16465988,0.932489451476793
BLCK,1982,249,11122887,0.899598393574297
BLGL,1978,124,5863246,0.975806451612903
BLGL,1979,102,8086821,0.950980392156863
BLGL,1980,271,18891334,0.974169741697417
BLGL,1981,237,16465988,0.978902953586498
BLGL,1982,249,11122887,0.963855421686747
BLUR,1978,124,5863246,1
BLUR,1979,102,8086821,0.950980392156863
BLUR,1980,271,18891334,0.992619926199262
BLUR,1981,237,16465988,0.9957805907173
BLUR,1982,249,11122887,0.987951807228916
BRNZ,1978,124,5863246,0.919354838709677
BRNZ,1979,102,8086821,0.970588235294118
BRNZ,1980,271,18891334,0.966789667896679
BRNZ,1981,237,16465988,0.978902953586498
BRNZ,1982,249,11122887,0.939759036144578
BRWN,1978,124,5863246,0.991935483870968
BRWN,1979,102,8086821,1
BRWN,1980,271,18891334,0.988929889298893
BRWN,1981,237,16465988,0.9957805907173
BRWN,1982,249,11122887,0.995983935742972
CBZN,1978,124,5863246,0.975806451612903
CBZN,1979,102,8086821,0.92156862745098
CBZN,1980,271,18891334,0.985239852398524
CBZN,1981,237,16465988,0.881856540084388
CBZN,1982,249,11122887,0.951807228915663
CLPR,1978,124,5863246,0.967741935483871
CLPR,1979,102,8086821,0.882352941176471
CLPR,1980,271,18891334,0.937269372693727
CLPR,1981,237,16465988,0.962025316455696
CLPR,1982,249,11122887,0.979919678714859
CNRY,1978,124,5863246,0.879032258064516
CNRY,1979,102,8086821,0.96078431372549
CNRY,1980,271,18891334,0.937269372693727
CNRY,1981,237,16465988,0.915611814345992
CNRY,1982,249,11122887,0.955823293172691
COPP,1978,124,5863246,1
COPP,1979,102,8086821,1
COPP,1980,271,18891334,0.985239852398524
COPP,1981,237,16465988,1
COPP,1982,249,11122887,0.987951807228916
CWCD,1978,124,5863246,1
CWCD,1979,102,8086821,0.970588235294118
CWCD,1980,271,18891334,0.981549815498155
CWCD,1981,237,16465988,0.983122362869198
CWCD,1982,249,11122887,0.983935742971888
DBRK,1978,124,5863246,0.919354838709677
DBRK,1979,102,8086821,0.950980392156863
DBRK,1980,271,18891334,0.955719557195572
DBRK,1981,237,16465988,0.945147679324895
DBRK,1982,249,11122887,0.907630522088353
EGLS,1978,124,5863246,0.959677419354839
EGLS,1979,102,8086821,0.990196078431373
EGLS,1980,271,18891334,0.974169741697417
EGLS,1981,237,16465988,0.924050632911392
EGLS,1982,249,11122887,0.987951807228916
FLAG,1978,124,5863246,1
FLAG,1979,102,8086821,1
FLAG,1980,271,18891334,0.996309963099631
FLAG,1981,237,16465988,0.983122362869198
FLAG,1982,249,11122887,0.991967871485944
GBLC,1978,124,5863246,1
GBLC,1979,102,8086821,0.980392156862745
GBLC,1980,271,18891334,0.992619926199262
GBLC,1981,237,16465988,1
GBLC,1982,249,11122887,0.991967871485944
GRAS,1978,124,5863246,0.766129032258065
GRAS,1979,102,8086821,1
GRAS,1980,271,18891334,0.96309963099631
GRAS,1981,237,16465988,0.953586497890295
GRAS,1982,249,11122887,0.971887550200803
GSPT,1978,124,5863246,0.991935483870968
GSPT,1979,102,8086821,1
GSPT,1980,271,18891334,0.988929889298893
GSPT,1981,237,16465988,0.983122362869198
GSPT,1982,249,11122887,0.991967871485944
GSRK,1978,124,5863246,0.991935483870968
GSRK,1979,102,8086821,0.980392156862745
GSRK,1980,271,18891334,0.992619926199262
GSRK,1981,237,16465988,1
GSRK,1982,249,11122887,0.987951807228916
LCOD,1978,124,5863246,0.967741935483871
LCOD,1979,102,8086821,0.96078431372549
LCOD,1980,271,18891334,0.940959409594096
LCOD,1981,237,16465988,0.991561181434599
LCOD,1982,249,11122887,0.995983935742972
LSPN,1978,124,5863246,0.991935483870968
LSPN,1979,102,8086821,0.990196078431373
LSPN,1980,271,18891334,0.996309963099631
LSPN,1981,237,16465988,1
LSPN,1982,249,11122887,1
MXRF,1978,124,5863246,1
MXRF,1979,102,8086821,1
MXRF,1980,271,18891334,0.992619926199262
MXRF,1981,237,16465988,1
MXRF,1982,249,11122887,1
OLVE,1978,124,5863246,1
OLVE,1979,102,8086821,0.970588235294118
OLVE,1980,271,18891334,0.992619926199262
OLVE,1981,237,16465988,0.9957805907173
OLVE,1982,249,11122887,0.991967871485944
POP,1978,124,5863246,0.975806451612903
POP,1979,102,8086821,0.980392156862745
POP,1980,271,18891334,0.966789667896679
POP,1981,237,16465988,0.991561181434599
POP,1982,249,11122887,0.923694779116466
