"marginalYTRK","n","landing","coverage"
"BDG",9,4003,1
"BRG",326,492844,0.98159509202454
"CRS",50,465516,0.96
"ERK",323,885402,0.956656346749226
"MNT",108,333889,0.944444444444444
"MRO",138,199364,0.963768115942029
"OSF",29,55138,1
"HKL",110,571560,0.945454545454545
"NET",6,31893,0.833333333333333
"TWL",867,1832703,0.970011534025375
"1978",124,618089,0.967741935483871
"1979",102,154519,0.980392156862745
"1980",271,242145,0.966789667896679
"1981",237,767033,0.957805907172996
"1982",249,654370,0.967871485943775
"Q1",162,493422,0.969135802469136
"Q2",289,309370,0.97923875432526
"Q3",340,1084024,0.970588235294118
"Q4",192,549340,0.9375
